comment,positive,neutral,negative,compound
lol that putt on 3 literally made me LOL,0.514,0.486,0.0,0.7456
Watching Bob with a wedge is like watching Hellen Keller try and find her way through a corn maze,0.135,0.865,0.0,0.3612
Whos Milton,0.0,1.0,0.0,0.0
Can I trouble you to suck my nuts Caught me off guard hahaha,0.185,0.41,0.405,-0.5106
2450 The Jet with an absolute career ender,0.0,1.0,0.0,0.0
Kirk Triplett Remember him Had me,0.0,1.0,0.0,0.0
So many Submariners,0.0,1.0,0.0,0.0
I love yamins editing,0.677,0.323,0.0,0.6369
You can tell Joe is homeschooled,0.0,1.0,0.0,0.0
Bob dont even look at that 90 We just need you focused on that back nine score of 40 There were even a couple shots on the back you couldve gained without anything too crazy so youve got that 79 in you my man,0.153,0.847,0.0,0.738
No matter what Im still deeply hurt to my core every time Bob makes a bad shot or misses a putt Bob is elite level at getting people to root for him without really trying,0.027,0.693,0.28,-0.8805
Can bob break 80 with 4 caddies,0.0,1.0,0.0,0.0
this was some world class editing still gigglin,0.0,1.0,0.0,0.0
3549 lmao,0.796,0.204,0.0,0.5994
Yall just roasting each other left and right Im here for it,0.0,1.0,0.0,0.0
2359 busted,0.0,1.0,0.0,0.0
Bob why does your camera man look like happy Gilmores caddy if he were 20 years younger and shaved lol,0.346,0.654,0.0,0.8402
Yam Idk how do you shank shots left and right,0.0,0.865,0.135,-0.1027
I think yall are competing to find the most unlikeable camera men on youtube,0.0,1.0,0.0,0.0
Bob v Trent needs to happen,0.0,1.0,0.0,0.0
Joey D walks around like he wouldnt shoot 100 in one of these videos,0.292,0.708,0.0,0.5478
3243 I recognize and appreciate the Whiplash reference Also great Farmers reference,0.43,0.57,0.0,0.7783
7 under 9 holes its doable,0.0,1.0,0.0,0.0
Players play at the players you guys are to funny,0.398,0.602,0.0,0.6486
Ironically one of the reason why this channel is the king of Youtube golf is BECAUSE Bob is so bad at golf The king needs no skills,0.0,0.789,0.211,-0.7712
Whos Milton,0.0,1.0,0.0,0.0
Ill be honest I was pulling for bob then checked out around the 5th hole I did however stick around for the whole video to listen to the comedy of Yamin and ticket Yamin is freaking hilarious PS go watch Office Space cold cuts,0.163,0.688,0.149,0.1779
I wouldnt have got the cake reference if it werent for my instructor using that movie for an assignment lol,0.135,0.865,0.0,0.4215
Fat Perez and Joey D flexing multiple new Rolexes The buy this shirt game has been good to them,0.146,0.854,0.0,0.4404
Cold cuts need a re vamp dudes struggling,0.0,0.5,0.5,-0.6124
Whens the collab with Bob and Trent breaking 80,0.0,1.0,0.0,0.0
The alignment fellas looks great followed by dead pull launch into the woods was hilarious,0.294,0.519,0.186,0.3612
The cart chaos on 10 Edit and eleven Edit and 12,0.0,0.73,0.27,-0.5719
Its 305 Tuesday 313 and still not Bob does video We slacking boys,0.0,1.0,0.0,0.0
Your Pars are Pars now FP,0.0,1.0,0.0,0.0
The most fun group to play with on the planet,0.428,0.572,0.0,0.7178
Jet whats disrespectful jet stares at tickets teeth while he talks,0.0,1.0,0.0,0.0
Gents really enjoy your content Huge fan great breezy brand I gotta have a have a day bucket Im meaneven Tiger released his hats FP is my idol Release it Ill play you for it Seriously Pinehurst area bring buckets,0.297,0.611,0.092,0.8777
I need a vacation,0.0,1.0,0.0,0.0
Bob just needs to hit the range and get his yardages right And before a course he needs to practice for 20 min just putting,0.0,1.0,0.0,0.0
i wanted to turn away but it was so bad i had to look lol,0.177,0.525,0.298,-0.5479
Just came to the last BDS video to congratulate FP for his performance at the Creator Classic What a fucking putt FP Better Than Most,0.224,0.776,0.0,0.7479
Hear me outbeer challenge but its the camera men that has to finish the beerswhile they film see what happens,0.057,0.943,0.0,0.0387
We all know its a big NO Not a single chance but we still love ya Bobby Boy,0.262,0.587,0.151,0.6666
Wouldnt the max he could take on a hole be net double bogey plus and handicap strokes So him taking the 4 on number 5 not be possible,0.051,0.949,0.0,0.0772
Jet and papi having the time of their lives and Coldcuts trying to fit in at first but then eventually realizes he just dont belong is the funniest shit ever,0.173,0.7,0.127,0.1901
Oh Pop please go purchase some light polos and shorts you always look so incredibly uncomfortable walking around in long pants and a hoodie in 100 degree heat,0.075,0.82,0.104,-0.2195
And on the 8th thru 14th days God created Fat Perez And it was good,0.368,0.632,0.0,0.7184
2nd shot on nine had me dying,0.0,1.0,0.0,0.0
One of us cant deny that,0.289,0.711,0.0,0.2584
Is it just me or does Bob say Drawl instead of Draw,0.0,1.0,0.0,0.0
This is of course entertaining But why is Cold Cuts chirping like he himself would be able to break 80 whenever he wants They could easily do this series with the both of them,0.202,0.73,0.068,0.6705
I might be the only person who thinks Joey D also cannot break 80,0.0,1.0,0.0,0.0
How have you not broken 80 yet when you play multiple times a week for years get tips from the top pros,0.273,0.727,0.0,0.696
Back seat Joey D is fucking funny,0.39,0.61,0.0,0.4927
Virality Virility Vitality,0.535,0.465,0.0,0.3182
Damn they lighting Coldcuts up,0.0,0.597,0.403,-0.4019
stoobi not taking the 35Ms in exchange for bobs golf game was the funniest clip in here,0.184,0.816,0.0,0.5574
butch davis mentioned fuck yeah go canes jet,0.188,0.513,0.299,-0.3182
He shot a 3 on 13 of the holes and a 14 on the other 5 holes,0.0,1.0,0.0,0.0
Need to play 27 holes Bob First 9 off camera and then go You got this,0.146,0.854,0.0,0.34
Bobdoessports i request to face Bob in a 1v1 stroke play straight up Where he is better than me on paper him and i have very similar games Ive only really gotten into golfing last year and im looking to improve my game to the next level I really love this game and i love how mental it is along with physical Bob and his team please reach out if you have time and lets make this happen im not famous i have no real influence but i absolutely love you guys channel and youre friendships are similar to my buddies and i I think we would have a great time and bobby and is match would me a close and entertaining This would mean the world to me gentlemen truly Lets make this happen God Bless and Good luck,0.327,0.673,0.0,0.9942
Bob and FP talking golf meanwhile the 3 stooges are talking sandwiches1350,0.0,1.0,0.0,0.0
CUTSY BREAKING 70,0.0,1.0,0.0,0.0
When fp say 50 on the front then he needs 7 under on the back 9 had me dead af,0.0,0.798,0.202,-0.6486
Ticket she feels heavy Straight to chaos,0.179,0.472,0.349,-0.4215
2031 hes living rent free in his own head it was over as soon as Joey said this,0.163,0.837,0.0,0.5106
Lets get a fan pool together for a bet 10k says Joe cant break 80 with a PGA rules expert following him for a round In fact I would double the bet and say that Bob would break 80 first under those circumstances The Bernaby Belly just laughing his arrogant ass off at his friend trying to improve Disgraceful,0.175,0.724,0.101,0.5994
I just watched the greatest episode of determination in all of Bob Does Sports while his team left him hanging Joey and Fat Perez wake the fuck up and gas light this man Get a damn Miami Vice and a Corona with a lime cool off and light Bob of fire,0.156,0.697,0.146,0.1531
The caddy shack cart made this video forsure,0.0,1.0,0.0,0.0
Damn I watched 3 holes before I fast forwarded to the end started out so promising,0.203,0.64,0.157,0.2002
The stuff bob does with the club head when he starts his back swing is crazy Love bob does sports Most genuine guy on all of YouTube,0.133,0.791,0.076,0.4215
Breaking 90 incoming,0.0,1.0,0.0,0.0
1654,0.0,1.0,0.0,0.0
The only thing that has changed on this channel over the last few years is the quality of the watches Love the content boys,0.154,0.846,0.0,0.6369
George and giving compliments just dont go well together,0.395,0.465,0.14,0.5083
CHANGED THE THUMBNAIL,0.0,1.0,0.0,0.0
This is so good more of this please,0.527,0.473,0.0,0.7715
what the liberal media will not tell you is that he enjoys the grind hahaha,0.347,0.653,0.0,0.7845
